Accession ID	Collection date	Submission date	Location
EPI_ISL_10034429	2021-12-27	2022-02-17	Europe / France / Grand Est
EPI_ISL_10071273	2022-01-03	2022-02-18	Europe / France / Auvergne-Rhone-Alpes / Lyon
EPI_ISL_10071279	2022-01-03	2022-02-18	Europe / France / Hauts-de-France / Henin Beaumont
EPI_ISL_10098716	2022-01-12	2022-02-19	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_10099778	2022-01-13	2022-02-19	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_10100103	2022-01-07	2022-02-19	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_10124671	2022-01-04	2022-02-21	Europe / France / Bretagne / Rennes
EPI_ISL_10133378	2022-01-10	2022-02-21	Europe / France / Centre-Val de Loire
EPI_ISL_10186792	2022-01-03	2022-02-22	Europe / France / Grand Est / Pannes
EPI_ISL_10187224	2021-12-27	2022-02-22	Europe / France / Auvergne-Rhone-Alpes / Lyon
EPI_ISL_10187257	2021-12-27	2022-02-22	Europe / France / Auvergne-Rhone-Alpes / Lyon
EPI_ISL_10187274	2021-12-27	2022-02-22	Europe / France / Auvergne-Rhone-Alpes / Lyon
EPI_ISL_10187324	2021-12-27	2022-02-22	Europe / France / Auvergne-Rhone-Alpes / Lyon
EPI_ISL_10187327	2021-12-27	2022-02-22	Europe / France / Auvergne-Rhone-Alpes / Lyon
EPI_ISL_10202016	2022-01-05	2022-02-22	Europe / France / Ile-de-France
EPI_ISL_10219467	2021-12-27	2022-02-22	Europe / France / Grand Est
EPI_ISL_10219858	2021-12-27	2022-02-22	Europe / France / Grand Est
EPI_ISL_10266154	2021-12-27	2022-02-23	Europe / France / Ile-de-France
EPI_ISL_10266923	2021-12-27	2022-02-23	Europe / France / Ile-de-France
EPI_ISL_10312938	2022-01-04	2022-02-24	Europe / France / Nouvelle-Aquitaine / Lot-et-Garonne
EPI_ISL_10314387	2022-01-27	2022-02-24	Europe / France / Nouvelle-Aquitaine
EPI_ISL_10345443	2021-12-27	2022-02-25	Europe / France / Ile-de-France
EPI_ISL_10352330	2021-12-20	2022-02-25	Europe / France / Grand Est / Pannes
EPI_ISL_10352345	2021-12-20	2022-02-25	Europe / France / Pays de la Loire / Nantes
EPI_ISL_10352352	2022-01-07	2022-02-25	Europe / France / Hauts-de-France / Lille
EPI_ISL_10352364	2021-12-27	2022-02-25	Europe / France / Hauts-de-France / Douai
EPI_ISL_10366101	2022-01-04	2022-02-25	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_10439365	2021-12-27	2022-02-28	Europe / France / Hauts-de-France
EPI_ISL_10439389	2021-12-20	2022-02-28	Europe / France / Ile-de-France
EPI_ISL_10439407	2021-12-20	2022-02-28	Europe / France / Ile-de-France
EPI_ISL_10439419	2021-12-22	2022-02-28	Europe / France / Ile-de-France
EPI_ISL_10504545	2021-12-27	2022-03-01	Europe / France / Occitanie
EPI_ISL_10504553	2021-12-27	2022-03-01	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_10590309	2021-12-17	2022-03-02	Europe / France / Ile-de-France
EPI_ISL_10590319	2021-12-20	2022-03-02	Europe / France / Ile-de-France
EPI_ISL_10594129	2021-12-20	2022-03-02	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_10594302	2021-12-20	2022-03-02	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_10594313	2021-12-20	2022-03-02	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_10640046	2021-12-17	2022-03-03	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_10646813	2021-12-27	2022-03-03	Europe / France / Pays de la Loire / Trelaze
EPI_ISL_10647049	2021-12-20	2022-03-03	Europe / France / Hauts-de-France / Lille
EPI_ISL_10647072	2021-12-20	2022-03-03	Europe / France / Hauts-de-France / Tourcoing
EPI_ISL_10647105	2021-12-20	2022-03-03	Europe / France / Grand Est / Charleville-Mezieres
EPI_ISL_10647106	2021-12-20	2022-03-03	Europe / France / Grand Est / Charleville-Mezieres
EPI_ISL_10647107	2021-12-20	2022-03-03	Europe / France / Grand Est / Charleville-Mezieres
EPI_ISL_10647119	2021-12-20	2022-03-03	Europe / France / Grand Est / Charleville-Mezieres
EPI_ISL_10647120	2021-12-20	2022-03-03	Europe / France / Grand Est / Charleville-Mezieres
EPI_ISL_10647124	2021-12-20	2022-03-03	Europe / France / Grand Est / Charleville-Mezieres
EPI_ISL_10647133	2021-12-20	2022-03-03	Europe / France / Grand Est / Charleville-Mezieres
EPI_ISL_10680901	2021-12-15	2022-03-04	Europe / France / Bretagne
EPI_ISL_10719053	2021-12-27	2022-03-05	Europe / France / Auvergne-Rhone-Alpes / Loire
EPI_ISL_10719057	2021-12-27	2022-03-05	Europe / France / Auvergne-Rhone-Alpes / Loire
EPI_ISL_10719310	2022-01-03	2022-03-05	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_10757420	2021-12-20	2022-03-07	Europe / France / Bretagne / Vannes
EPI_ISL_10757430	2021-12-20	2022-03-07	Europe / France / Hauts-de-France / Valenciennes
EPI_ISL_10757432	2021-12-20	2022-03-07	Europe / France / Bretagne / Vannes
EPI_ISL_10757446	2021-12-20	2022-03-07	Europe / France / Pays de la Loire / Nantes
EPI_ISL_10757447	2021-12-20	2022-03-07	Europe / France / Pays de la Loire / Nantes
EPI_ISL_10757938	2021-12-22	2022-03-07	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_10758155	2021-12-22	2022-03-07	Europe / France / Auvergne-Rhone-Alpes
