Accession ID	Collection date	Submission date	Location
EPI_ISL_11540000	2022-01-24	2022-03-30	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_8257346	2021-12-26	2021-12-31	Europe / France / Ile-de-France
EPI_ISL_8257506	2021-12-20	2021-12-31	Europe / France / Ile-de-France
EPI_ISL_8544833	2021-12-27	2022-01-10	Europe / France / Nouvelle-Aquitaine / Pyrenees-Atlantiques
EPI_ISL_9878370	2022-01-17	2022-02-14	Europe / France / Hauts-de-France / Lille
EPI_ISL_8376119	2021-12-20	2022-01-05	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_8376178	2021-12-20	2022-01-05	Europe / France / Nouvelle-Aquitaine
EPI_ISL_11506827	2022-01-03	2022-03-29	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11504712	2021-12-27	2022-03-29	Europe / France / Centre-Val de Loire / Loir-et-Cher
EPI_ISL_11504702	2021-12-27	2022-03-29	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11504610	2022-01-03	2022-03-29	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11503797	2021-12-27	2022-03-29	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11503769	2021-12-27	2022-03-29	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11497066	2021-12-27	2022-03-28	Europe / France / Ile-de-France
EPI_ISL_11490614	2021-12-23	2022-03-28	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11488417	2021-12-27	2022-03-28	Europe / France / Provence-Alpes-Cote d’Azur / Var
EPI_ISL_11488323	2022-01-03	2022-03-28	Europe / France / Auvergne-Rhone-Alpes / Isere
EPI_ISL_12747523	2021-12-27	2022-05-18	Europe / France / Auvergne-Rhone-Alpes / Isere
EPI_ISL_12747522	2021-12-27	2022-05-18	Europe / France / Auvergne-Rhone-Alpes / Isere
EPI_ISL_12747513	2021-12-27	2022-05-18	Europe / France / Auvergne-Rhone-Alpes / Isere
EPI_ISL_12747480	2021-12-27	2022-05-18	Europe / France / Auvergne-Rhone-Alpes / Isere
EPI_ISL_11467593	2021-12-20	2022-03-28	Europe / France / Ile-de-France / Val-de-Marne
EPI_ISL_11378415	2021-12-20	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11378412	2021-12-20	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11378385	2021-12-20	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11378376	2021-12-20	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11378355	2021-12-20	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11378347	2021-12-17	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11377374	2021-12-20	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11377360	2021-12-20	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11377348	2021-12-20	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11377291	2021-12-20	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
