Accession ID	Collection date	Submission date	Location
EPI_ISL_10004750	2022-01-24	2022-02-17	Europe / France / Bretagne
EPI_ISL_10007035	2022-02-07	2022-02-17	Europe / France / Hauts-de-France
EPI_ISL_10021313	2022-01-24	2022-02-17	Europe / France / Ile-de-France
EPI_ISL_10312295	2022-01-10	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10312299	2022-01-10	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10312300	2022-01-08	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10312313	2022-01-10	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10314156	2021-12-27	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10314159	2021-12-27	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10314479	2022-01-03	2022-02-24	Europe / France / Provence-Alpes-Cote d’Azur
EPI_ISL_10314494	2022-01-10	2022-02-24	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_10314501	2022-01-10	2022-02-24	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_10314715	2021-12-27	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10314716	2021-12-27	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10314719	2021-12-27	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10314721	2021-12-27	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10314723	2021-12-27	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10314726	2021-12-27	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_10314739	2021-12-27	2022-02-24	Europe / France / Ile-de-France
EPI_ISL_11218361	2021-12-20	2022-03-21	Europe / France / Grand Est / Moselle
EPI_ISL_11222907	2021-12-20	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11222910	2021-12-22	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11222922	2021-12-22	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11222930	2021-12-20	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11222942	2021-12-18	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225795	2021-12-27	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225820	2021-12-27	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225847	2021-12-27	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11564580	2022-02-11	2022-03-30	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11579786	2022-02-07	2022-03-31	Europe / France / Nouvelle-Aquitaine / Charente
EPI_ISL_11579828	2022-02-07	2022-03-31	Europe / France / Nouvelle-Aquitaine / Charente
EPI_ISL_11579832	2022-02-07	2022-03-31	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11579834	2022-02-07	2022-03-31	Europe / France / Nouvelle-Aquitaine / Charente
EPI_ISL_11579849	2022-02-07	2022-03-31	Europe / France / Nouvelle-Aquitaine / Deux-Sevres
EPI_ISL_11580281	2022-01-03	2022-03-31	Europe / France / Nouvelle-Aquitaine / Deux-Sevres
EPI_ISL_11580471	2021-12-28	2022-03-31	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11580480	2021-12-29	2022-03-31	Europe / France / Nouvelle-Aquitaine / Charente
EPI_ISL_11580485	2021-12-29	2022-03-31	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11580488	2021-12-29	2022-03-31	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11889201	2021-12-29	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11922104	2021-12-23	2022-04-11	Europe / France / Normandie / Seine-Maritime
EPI_ISL_12025198	2021-12-21	2022-04-13	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_12051375	2022-01-31	2022-04-14	Europe / France / Bretagne / Cotes-d’Armor
EPI_ISL_16467225	2022-01-26	2023-01-11	Europe / France / Grand Est
EPI_ISL_16467441	2022-01-28	2023-01-11	Europe / France / Grand Est
EPI_ISL_8770363	2021-12-27	2022-01-17	Europe / France / Centre-Val de Loire / Loiret
EPI_ISL_9256822	2021-12-27	2022-01-28	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_9256829	2021-12-27	2022-01-28	Europe / France / Ile-de-France
EPI_ISL_9256842	2021-12-27	2022-01-28	Europe / France / Ile-de-France
EPI_ISL_9256844	2021-12-27	2022-01-28	Europe / France / Ile-de-France
EPI_ISL_9256851	2021-12-27	2022-01-28	Europe / France / Normandie
EPI_ISL_9257609	2021-12-19	2022-01-28	Europe / France / Ile-de-France
EPI_ISL_9257617	2021-12-22	2022-01-28	Europe / France / Ile-de-France
EPI_ISL_9257618	2021-12-22	2022-01-28	Europe / France / Ile-de-France
EPI_ISL_9257624	2021-12-16	2022-01-28	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_9257629	2021-12-17	2022-01-28	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_9257632	2021-12-18	2022-01-28	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_9257633	2021-12-16	2022-01-28	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_9257639	2021-12-17	2022-01-28	Europe / France / Nouvelle-Aquitaine
EPI_ISL_9257736	2022-01-16	2022-01-28	Europe / France / Ile-de-France
EPI_ISL_9257741	2022-01-17	2022-01-28	Europe / France / Ile-de-France
EPI_ISL_9257742	2022-01-18	2022-01-28	Europe / France / Ile-de-France
