Accession ID	Collection date	Submission date	Location
EPI_ISL_11540084	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11540059	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11540077	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11540072	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11540071	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11540070	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11540067	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11540064	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11540058	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Loir-et-Cher
EPI_ISL_11540050	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11540048	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11540047	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11540043	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Loir-et-Cher
EPI_ISL_11540039	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Loir-et-Cher
EPI_ISL_11540036	2022-01-24	2022-03-30	Europe / France / Centre-Val de Loire / Loir-et-Cher
EPI_ISL_11540032	2022-01-24	2022-03-30	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11540020	2022-01-24	2022-03-30	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11540016	2022-01-24	2022-03-30	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11540014	2022-01-23	2022-03-30	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
