Accession ID	Collection date	Submission date	Location
EPI_ISL_10758672	2022-02-14	2022-03-07	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_10819657	2022-01-31	2022-03-08	Europe / France / Hauts-de-France / Soissons
EPI_ISL_12154256	2022-04-02	2022-04-20	Europe / France / Hauts-de-France / Pas-de-Calais
EPI_ISL_12196988	2022-02-03	2022-04-21	Europe / France / Auvergne-Rhone-Alpes / Puy-de-Dome
EPI_ISL_12208370	2022-01-31	2022-04-22	Europe / France / Occitanie / Herault
EPI_ISL_12454959	2022-04-19	2022-05-02	Europe / France / Nouvelle-Aquitaine / Pyrenees-Atlantiques
EPI_ISL_12495234	2022-03-14	2022-05-04	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_12495464	2022-04-11	2022-05-04	Europe / France / Pays de la Loire
EPI_ISL_12495909	2022-04-19	2022-05-04	Europe / France / Auvergne-Rhone-Alpes
EPI_ISL_12714552	2022-04-25	2022-05-16	Europe / France / Hauts-de-France / Denain
EPI_ISL_13010949	2022-05-09	2022-05-30	Europe / France / Hauts-de-France / Bethune
EPI_ISL_13086228	2022-04-25	2022-06-02	Europe / France / Provence-Alpes-Cote d’Azur / Marseille
EPI_ISL_13371056	2022-03-07	2022-06-20	Europe / France / Hauts-de-France
EPI_ISL_13524814	2022-04-04	2022-06-29	Europe / France / Bourgogne-Franche-Comte / Cote-d’Or
EPI_ISL_9879436	2022-01-17	2022-02-14	Europe / France / Hauts-de-France / Calais
EPI_ISL_9879437	2022-01-31	2022-02-14	Europe / France / Hauts-de-France / Soissons
